UDP Outside  66.171.145.244:0 Inside  10.5.36.113:5060, idle 0:00:05, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.64.111:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.64.111:5060, idle 0:00:28, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.83.158:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.83.158:5060, idle 0:00:26, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.64.102:5060, idle 0:00:11, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.64.102:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.1.36.108:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.1.36.108:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.64.114:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.64.114:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.36.112:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.36.112:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.140.112:5060, idle 0:00:15, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.140.112:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.178:5060, idle 0:00:20, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.178:5060, idle 0:00:27, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.134:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.134:5060, idle 0:00:09, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.120:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.120:5060, idle 0:00:13, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.146.117:5060, idle 0:00:00, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.117:5060, idle 0:00:03, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.117:5060, idle 0:01:32, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.117:5060, idle 0:01:32, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.146.117:5060, idle 0:01:32, bytes 0, flags ti 
UDP Outside  208.87.254.99:5060 Inside  10.5.151.151:5060, idle 0:19:12, bytes 1066974, flags TX 
UDP Outside  66.171.145.244:0 Inside  10.5.79.153:5060, idle 0:00:21, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.79.153:5060, idle 0:00:22, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.79.153:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.79.153:5060, idle 0:00:26, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.37.56:5060, idle 0:00:14, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.37.56:5060, idle 0:00:18, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.144.108:5060, idle 0:00:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.108:5060, idle 0:00:25, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.144.108:5060, idle 0:01:06, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.5.162:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.5.162:5060, idle 0:00:24, bytes 0, flags ti 
UDP Outside  66.185.167.133:0 Inside  10.5.43.53:5060, idle 0:00:02, bytes 0, flags ti 
UDP Outside  66.171.145.244:0 Inside  10.5.43.53:5060, idle 0:00:27, bytes 0, flags ti 
